,NAME,YEAR,TIME,GENRE,RATING,VOTES,GROSS_COLLECTION
0,The Dark Knight,(2008),152 min,"
Action, Crime, Drama            ","

9.0
","2,608,497",$534.86M
1,The Lord of the Rings: The Return of the King,(2003),201 min,"
Action, Adventure, Drama            ","

9.0
","1,811,830",$377.85M
2,Inception,(2010),148 min,"
Action, Adventure, Sci-Fi            ","

8.8
","2,312,473",$292.58M
3,The Lord of the Rings: The Two Towers,(2002),179 min,"
Action, Adventure, Drama            ","

8.8
","1,636,169",$342.55M
4,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"
Action, Adventure, Drama            ","

8.8
","1,834,885",$315.54M
5,The Matrix,(1999),136 min,"
Action, Sci-Fi            ","

8.7
","1,887,190",$171.48M
6,The Empire Strikes Back,(1980),124 min,"
Action, Adventure, Fantasy            ","

8.7
","1,275,010",$290.48M
7,Terminator 2: Judgment Day,(1991),137 min,"
Action, Sci-Fi            ","

8.6
","1,085,019",$204.84M
8,Star Wars,(1977),121 min,"
Action, Adventure, Fantasy            ","

8.6
","1,347,709",$322.74M
9,Seppuku,(1962),133 min,"
Action, Drama, Mystery            ","

8.6
","56,041",$na
10,Shichinin no samurai,(1954),207 min,"
Action, Drama            ","

8.6
","343,351",$0.27M
11,Kaithi,(2019),145 min,"
Action, Crime, Thriller            ","

8.5
","29,508",$na
12,Asuran,(2019),141 min,"
Action, Drama            ","

8.5
","28,368",$na
13,Top Gun: Maverick,(2022),130 min,"
Action, Drama            ","

8.5
","344,682",$na
14,Gladiator,(2000),155 min,"
Action, Adventure, Drama            ","

8.5
","1,478,375",$187.71M
15,Léon,(1994),110 min,"
Action, Crime, Drama            ","

8.5
","1,145,115",$19.50M
16,Vikram,(2022),175 min,"
Action, Thriller            ","

8.4
","48,369",$na
17,Spider-Man: Into the Spider-Verse,(2018),117 min,"
Animation, Action, Adventure            ","

8.4
","512,542",$190.24M
18,Avengers: Endgame,(2019),181 min,"
Action, Adventure, Drama            ","

8.4
","1,097,522",$858.37M
19,Avengers: Infinity War,(2018),149 min,"
Action, Adventure, Sci-Fi            ","

8.4
","1,052,542",$678.82M
20,The Dark Knight Rises,(2012),164 min,"
Action, Drama            ","

8.4
","1,681,173",$448.14M
21,K.G.F: Chapter 2,(2022),168 min,"
Action, Crime, Drama            ","

8.4
","121,923",$na
22,Shershaah,(2021),135 min,"
Action, Biography, Drama            ","

8.4
","119,729",$na
23,Oldeuboi,(2003),101 min,"
Action, Drama, Mystery            ","

8.4
","571,553",$0.71M
24,Aliens,(1986),137 min,"
Action, Adventure, Sci-Fi            ","

8.4
","710,105",$85.16M
25,Raiders of the Lost Ark,(1981),115 min,"
Action, Adventure            ","

8.4
","956,123",$248.16M
26,Dangal,(2016),161 min,"
Action, Biography, Drama            ","

8.3
","188,613",$12.39M
27,Karthikeya 2,(2022),150 min,"
Action, Adventure, Fantasy            ","

8.3
","52,755",$na
28,Spider-Man: No Way Home,(2021),148 min,"
Action, Adventure, Fantasy            ","

8.3
","718,377",$804.75M
29,Heat,(1995),170 min,"
Action, Crime, Drama            ","

8.3
","647,351",$67.44M
30,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,"
Action, Adventure, Fantasy            ","

8.3
","1,041,083",$309.13M
31,North by Northwest,(1959),136 min,"
Action, Adventure, Mystery            ","

8.3
","325,773",$13.28M
32,1917,(2019),119 min,"
Action, Drama, War            ","

8.2
","571,347",$159.23M
33,Uri: The Surgical Strike,(2019),138 min,"
Action, Drama, History            ","

8.2
","62,218",$4.19M
34,K.G.F: Chapter 1,(2018),156 min,"
Action, Crime, Drama            ","

8.2
","82,201",$na
35,Everything Everywhere All at Once,(2022),139 min,"
Action, Adventure, Comedy            ","

8.2
","194,861",$na
36,Vikram Vedha,(2017),147 min,"
Action, Crime, Drama            ","

8.2
","40,790",$na
37,Dag II,(2016),135 min,"
Action, Drama, War            ","

8.2
","108,315",$na
38,Baahubali 2: The Conclusion,(2017),167 min,"
Action, Drama            ","

8.2
","98,194",$20.19M
39,Gangs of Wasseypur,(2012),321 min,"
Action, Comedy, Crime            ","

8.2
","95,406",$na
40,Paan Singh Tomar,(2012),135 min,"
Action, Biography, Crime            ","

8.2
","36,332",$0.04M
41,Warrior,(2011),140 min,"
Action, Drama, Sport            ","

8.2
","469,319",$13.66M
42,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,"
Animation, Action, Adventure            ","

8.2
","55,645",$47.70M
43,V for Vendetta,(2005),132 min,"
Action, Drama, Sci-Fi            ","

8.2
","1,111,341",$70.51M
44,Batman Begins,(2005),140 min,"
Action, Crime, Drama            ","

8.2
","1,450,759",$206.85M
45,Kill Bill: Vol. 1,(2003),111 min,"
Action, Crime, Drama            ","

8.2
","1,101,268",$70.10M
46,"Lock, Stock and Two Smoking Barrels",(1998),107 min,"
Action, Comedy, Crime            ","

8.2
","577,821",$3.90M
47,Jurassic Park,(1993),127 min,"
Action, Adventure, Sci-Fi            ","

8.2
","976,368",$402.45M
48,Indiana Jones and the Last Crusade,(1989),127 min,"
Action, Adventure            ","

8.2
","747,753",$197.17M
49,Die Hard,(1988),132 min,"
Action, Thriller            ","

8.2
","867,653",$83.01M
50,Ran,(1985),162 min,"
Action, Drama, War            ","

8.2
","125,050",$4.14M
51,Yôjinbô,(1961),110 min,"
Action, Drama, Thriller            ","

8.2
","122,535",$na
52,The General,(1926),67 min,"
Action, Adventure, Comedy            ","

8.2
","91,163",$1.03M
53,Sherlock Jr.,(1924),45 min,"
Action, Comedy, Romance            ","

8.2
","49,766",$0.98M
